UUID,Date,Description,Category,Amount,Note
E68AC9AA-3ACA-465A-9BC3-DBA563693D97,2025-01-13,Ralphs,Groceries,10,
85E4BBA6-8741-499E-8377-300BFADC4892,2025-01-13,Can opener,Home,12,
E16F420C-78C0-40B7-B6FD-305ACD08F234,2025-01-13,Ralphs,Groceries,25.37,
4AA7F9EC-A8B2-474B-B9BA-3DD9A3DF64C3,2025-01-17,Walmart Groceries,Groceries,42,
B6D06A1E-651E-4442-8E5F-DD24BF345459,2025-01-17,Roach Trap/Hangers,Home,18,
88F3697A-BBEE-4DC1-8A3F-7B6B94FF0BDE,2025-01-17,Haircut,Home,17,
74A08395-9C81-4594-B905-5747521C1726,2025-01-17,Nex Commisary,Groceries,21.91,
38214DAF-8310-415B-8D6D-B18C3405FC9B,2025-01-17,Snow Pants,Excess,67.58,
72FB1D2C-A112-4DBE-98EE-DDA41A0EF150,2025-01-17,Cox Cancel,Utilities,16.67,
2AEB42AE-6DB6-4243-B59D-A1313CAD2A00,2025-01-18,Skiing Alcohol,Entertainment,10.65,
15724C82-276F-4B05-967A-E660AAF28067,2025-01-18,Snowboard Ticket,Entertainment,44.75,
77AC888C-6D5F-4E7C-92D7-728F23018FAB,2025-01-18,Celsius,Entertainment,4,
6E97CBCC-A911-4FB7-B5D8-5F7F0FA0EC20,2025-01-19,Big Bear Going Out,Entertainment,100,
F259DC9A-3C3D-46BE-BD37-F37F9B917B0B,2025-01-20,Class Pass,Excess,19,
08C24106-6F60-4D5A-979C-6D3D86443584,2025-01-21,Spotify,Entertainment,13.64,
CF8E138C-DAF2-4639-88D9-3B72C87B2B81,2025-01-23,Flowers,Groceries,22.79,
7671F45B-4CF9-45C7-97AD-5488276F2069,2025-01-23,Chicken,Groceries,9.65,
F629939B-C4A2-43B1-AD7B-C33C31850CA1,2025-01-24,Coffee,Dining Out,9.67,
C1BAFCB5-98EB-456A-A738-CE1CC97CF966,2025-01-24,Trash Can,Home,60,
1C2EA7A9-B0DC-4720-A4D2-E9BA3A1E12B4,2025-01-24,Beer,Entertainment,25,
E7A68497-4D3B-4D5C-9615-51FC661F0744,2025-01-24,Disney Plus,Excess,5,
169085A5-AFEA-46BB-885E-81AB93BBDE44,2025-01-25,Costco,Groceries,100,
04A10056-78C5-44A9-9464-76CBDEB79187,2025-01-27,Bedroom Furniture,Home,823.1,
AA5F75A4-582B-4505-9CE8-AA8C04DB17D6,2025-01-27,Mattress,Home,877.21,
B7870622-68C3-4F38-AE75-92F11FA9F10A,2025-01-27,Electric,Utilities,66.67,
D689EE1D-BA63-4797-B17E-F383C762B602,2025-01-28,Ralphs,Groceries,35.73,
E52755B7-3E61-40E6-A12C-696DB66BB186,2025-01-30,Kebab Shop,Dining Out,35,
3A7830E7-104E-42D7-9E61-9BEE60FFCE15,2025-01-30,Ice cream,Entertainment,18.94,
4DFDFB02-655C-44DF-ADC9-CB30FF4B76EB,2025-01-31,ChatGPT,Utilities,20,
1EAC9C30-E894-4B4C-B625-8861C149E6B2,2025-02-01,Gas to Snowboard,Transportation,15,
0BEE3963-2AA3-4CFA-9B9B-85AF49955381,2025-02-01,Lift Ticket,Entertainment,87,
968FAA2A-FE9A-4AB1-AE1B-D34E9C2AF60C,2025-02-01,Drink at Ski Mountain,Dining Out,13.58,
02FB58F5-BFFF-438D-AAC0-599159DE307E,2025-02-01,Two gas station stops,Transportation,6,
A2735792-CACA-4E3F-8460-14F9EE57C6B5,2025-02-01,Rosemounts,Dining Out,10,
23A21747-D4BF-4685-9D32-F32A09B5C2DB,2025-02-02,Cvs,Groceries,25.45,
0B6BF2B7-100D-4543-B21F-1006ACBBF562,2025-02-03,Xbox,Entertainment,20,
B5751B1B-4C69-4EDF-AE05-51A09F627269,2025-02-03,Ralphs,Groceries,17.98,
0A53D311-34EE-4E25-A81B-17B5E3035A1E,2025-02-05,Tux,Excess,457.98,
5424BD7D-FBD1-47D4-A783-B2EEA3EA8A5A,2025-02-06,Taco Stand,Dining Out,12.81,
CB541458-F838-48A5-8EF0-CF3ADC2193F7,2025-02-07,Gas,Transportation,41.6,
7277AC52-B375-4F22-B90E-B47E684AB89D,2025-02-08,Snowboarding,Entertainment,87,
FCF5B45E-D7CA-4444-86EB-9F040E9EA9B4,2025-02-08,Ski food,Dining Out,13.95,
CCAF7CFB-3914-4FBC-B2C6-D2142712ABC7,2025-02-09,Coffee,Dining Out,15,
99B2AC15-66AD-45F4-8D47-292AE2FB57F2,2025-02-10,Gas,Transportation,38.42,
A69A151A-CAF2-4846-BDB6-AC9C79C11A42,2025-02-10,Ski Dinner,Dining Out,50,
2F72AE61-A036-4B2F-9CB7-CC7B11EB82DC,2025-02-10,Taco stand,Dining Out,28.48,
2791644B-131B-4E1B-A730-55C0FC105CC1,2025-02-11,Walmart Food,Groceries,49.95,
160AC961-4F73-42D1-A12D-86B37DD4536D,2025-02-12,Brandons Wedding Flight,Excess,581.5,
63632B23-B88F-4BE0-83AC-50370EF55452,2025-02-13,Valentines Gift,Excess,140.65,
8010A943-5CDA-4A74-B64D-9F054467BB1B,2025-02-13,Ralphs,Groceries,84.75,
08A6475B-2C80-4FD2-8C1B-98BF70F05D84,2025-02-14,Car Registration,Home,102.7,
67A452CA-7DA3-4DBE-BA1A-1D6819EFF561,2025-02-14,Kaluha,Excess,25,
E5BD8B79-DFDA-4D9F-B785-EAFDD7B3C578,2025-02-14,Ralphs,Groceries,24,
2AADC266-5257-44C4-A80B-4F0C31674059,2025-02-14,Taco Stand,Dining Out,25,
AB38F014-8046-4C03-BB53-F228A7E163B7,2025-02-15,Water,Groceries,5.35,
8DAB0BF3-F638-47A0-A9A8-D5EDCD1369B4,2025-02-15,Canoli,Excess,10.44,
5EFCFE26-94F9-449B-B73C-2DCFCAE5250F,2025-02-15,Mimmos,Dining Out,80.45,
